# chain=base rpc=https://base.publicnode.com contract=0x09154248ffdbaf8aa877ae8a4bf8ce1503596428
# block=40640676
tokenId,owner
228,0xc876ec039b90718ff7fc3754b3eec8d2e8918f2f
229,0x76d0e7a13248945ee9f808b4a472262b28778942
230,0x76d0e7a13248945ee9f808b4a472262b28778942
231,0x09a900eb2ff6e9aca12d4d1a396ddc9be0307661
233,0xca0edb47a8c9ef04dc2368946f46fb3d7c1a3202
234,0xca0edb47a8c9ef04dc2368946f46fb3d7c1a3202
237,0xca0edb47a8c9ef04dc2368946f46fb3d7c1a3202
238,0xefbe74a2d564b5da62407d452038db32c9fd6b27
239,0xefbe74a2d564b5da62407d452038db32c9fd6b27
240,0x76d0e7a13248945ee9f808b4a472262b28778942
241,0xefbe74a2d564b5da62407d452038db32c9fd6b27
242,0x09a900eb2ff6e9aca12d4d1a396ddc9be0307661
243,0xc421401af43d217d8bf16f18ffd076f3c84219d9
244,0xf561592d05174512905cece6f00efc52423adc3c
245,0xc421401af43d217d8bf16f18ffd076f3c84219d9
246,0xc421401af43d217d8bf16f18ffd076f3c84219d9
247,0xc421401af43d217d8bf16f18ffd076f3c84219d9
249,0xc421401af43d217d8bf16f18ffd076f3c84219d9
250,0xc421401af43d217d8bf16f18ffd076f3c84219d9
251,0x4932ae69f9da1ff74944680baad245cd3747d861
252,0x09a80a434a3ea1e247dabc7ec979b7392f34b510
253,0x09a900eb2ff6e9aca12d4d1a396ddc9be0307661
254,0xc7aab24ede583b0dc9041343ae51466bb86a1ab7
255,0xc421401af43d217d8bf16f18ffd076f3c84219d9
256,0x76d0e7a13248945ee9f808b4a472262b28778942
257,0xefbe74a2d564b5da62407d452038db32c9fd6b27
258,0x76d0e7a13248945ee9f808b4a472262b28778942
259,0x76d0e7a13248945ee9f808b4a472262b28778942
260,0x4932ae69f9da1ff74944680baad245cd3747d861
262,0x76d0e7a13248945ee9f808b4a472262b28778942
264,0xefbe74a2d564b5da62407d452038db32c9fd6b27
265,0xefbe74a2d564b5da62407d452038db32c9fd6b27
266,0x76d0e7a13248945ee9f808b4a472262b28778942
267,0x76d0e7a13248945ee9f808b4a472262b28778942
268,0x76d0e7a13248945ee9f808b4a472262b28778942
269,0x21ee4e4994a5d87f579b9aee5e22142b85e9c624
270,0x76d0e7a13248945ee9f808b4a472262b28778942
275,0x09a900eb2ff6e9aca12d4d1a396ddc9be0307661
277,0x09a80a434a3ea1e247dabc7ec979b7392f34b510
280,0xefbe74a2d564b5da62407d452038db32c9fd6b27
281,0xefbe74a2d564b5da62407d452038db32c9fd6b27
283,0xefbe74a2d564b5da62407d452038db32c9fd6b27
284,0x5d13b662a387a0e40b9320b8759e38c1204ec5ea
285,0x76d0e7a13248945ee9f808b4a472262b28778942
286,0x09a900eb2ff6e9aca12d4d1a396ddc9be0307661
287,0xefbe74a2d564b5da62407d452038db32c9fd6b27
288,0x76d0e7a13248945ee9f808b4a472262b28778942
290,0xf8a025b42b07db05638fe596cce339707ec3cc71
291,0x76d0e7a13248945ee9f808b4a472262b28778942
293,0x76d0e7a13248945ee9f808b4a472262b28778942
294,0x76d0e7a13248945ee9f808b4a472262b28778942
295,0x5d13b662a387a0e40b9320b8759e38c1204ec5ea
296,0xc876ec039b90718ff7fc3754b3eec8d2e8918f2f
297,0x09a900eb2ff6e9aca12d4d1a396ddc9be0307661
298,0x09a80a434a3ea1e247dabc7ec979b7392f34b510
299,0xc876ec039b90718ff7fc3754b3eec8d2e8918f2f
301,0x76d0e7a13248945ee9f808b4a472262b28778942
302,0x76d0e7a13248945ee9f808b4a472262b28778942
303,0xd2db6ab0dc4743a77719b38d9f7196aa32fa519f
304,0x76d0e7a13248945ee9f808b4a472262b28778942
305,0x76d0e7a13248945ee9f808b4a472262b28778942
306,0x76d0e7a13248945ee9f808b4a472262b28778942
307,0x76d0e7a13248945ee9f808b4a472262b28778942
308,0x09a900eb2ff6e9aca12d4d1a396ddc9be0307661
309,0x5d13b662a387a0e40b9320b8759e38c1204ec5ea
310,0x76d0e7a13248945ee9f808b4a472262b28778942
311,0x76d0e7a13248945ee9f808b4a472262b28778942
312,0x76d0e7a13248945ee9f808b4a472262b28778942
313,0x76d0e7a13248945ee9f808b4a472262b28778942
314,0x09a900eb2ff6e9aca12d4d1a396ddc9be0307661
315,0x21ee4e4994a5d87f579b9aee5e22142b85e9c624
316,0x76d0e7a13248945ee9f808b4a472262b28778942
